path,file,columns,rows,delimiter,null_char
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\ATOM.csv,31,160000,;,"blank, ?"
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\ATOM_SITE.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\ATOM_SITES.csv,31,32485,;,"blank, ?"
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\ATOM_SITES_ALT.csv,4,18742,;,?
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\ATOM_SITES_ALT_ENS.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\ATOM_SITES_ALT_GEN.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\ATOM_SITES_FOOTNOTE.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\ATOM_SITE_ANISOTROP.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\ATOM_TYPE.csv,23,162267,;,"blank, ?"
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\CELL.csv,20,30771,;,"blank, ?"
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\CELL_MEASUREMENT.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\CELL_MEASUREMENT_REFLN.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\CHEM_COMP.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\CHEM_COMP_ANGLE.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\CHEM_COMP_ATOM.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\CHEM_COMP_BOND.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\CHEM_COMP_CHIR.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\CHEM_COMP_CHIR_ATOM.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\CHEM_COMP_LINK.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\CHEM_COMP_PLANE.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\CHEM_COMP_PLANE_ATOM.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\PDB\CHEM_COMP_TOR.csv,0,0,,
