path,file,columns,rows,delimiter,null_char
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\annotation.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\area.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\area_alias.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\area_alias_type.csv,5,3,;,blank
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\area_annotation.csv,2,4,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\area_gid_redirect.csv,3,89,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\area_type.csv,5,5,;,blank
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\artist.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\artist_alias.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\artist_alias_type.csv,5,3,;,blank
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\artist_annotation.csv,2,25679,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\artist_credit.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\artist_credit_name.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\artist_gid_redirect.csv,3,28462,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\artist_ipi.csv,4,13364,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\artist_isni.csv,4,7560,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\artist_meta.csv,3,855333,;,blank
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\artist_tag.csv,4,144222,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\artist_type.csv,5,6,;,blank
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\cdtoc.csv,8,581740,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\cdtoc_raw.csv,6,279128,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\country_area.csv,1,257,"""",
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\cover_art_archive_art_type.csv,5,13,;,blank
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\cover_art_archive_cover_art.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\cover_art_archive_cover_art_type.csv,2,476380,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\cover_art_archive_image_type.csv,2,4,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\cover_art_archive_release_group_cover_art.csv,2,1340,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\edit.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\editor_sanitised.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\edit_area.csv,2,641391,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\edit_artist.csv,3,24410631,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\edit_instrument.csv,2,16606,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\edit_label.csv,3,1107019,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\edit_note.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\edit_place.csv,2,133743,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\edit_recording.csv,2,37212456,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\edit_release.csv,2,11429334,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\edit_release_group.csv,2,6407456,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\edit_series.csv,2,24672,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\edit_url.csv,2,3205579,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\edit_work.csv,2,3142352,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\gender.csv,5,3,;,blank
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\instrument.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\instrument_alias.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\instrument_alias_type.csv,5,2,;,blank
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\instrument_annotation.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\instrument_gid_redirect.csv,0,0,,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\instrument_type.csv,5,5,;,blank
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\iso_3166_1.csv,2,258,;,
C:\Users\tulli\Documents\GitHub\csv-analyzer,C:\Users\tulli\Desktop\hpi_dataset\musicbrainz\iso_3166_2.csv,2,4825,;,
